id,document_title,source,classifications,doi,publication_year,author,keywords,author_ids
oai:zbmath.org:7346112,Combining dependent \(p\)-values by gamma distributions,"Stat. Appl. Genet. Mol. Biol. 19, No. 4-6, Article ID 20190057, 12 p. (2020).",62H15;62J15;62P10,10.1515/sagmb-2019-0057,2020,"Chien, Li-Chu",correlated \(p\)-values;empirical Brown's method;gamma distribution;multiple hypothesis testing,chien.li-chu
oai:zbmath.org:7346113,Inferring dynamic gene regulatory networks with low-order conditional independencies -- an evaluation of the method,"Stat. Appl. Genet. Mol. Biol. 19, No. 4-6, Article ID 20200051, 19 p. (2020).",92C42;92D10,10.1515/sagmb-2020-0051,2020,"Ajmal, Hamda B.; Madden, Michael G.",conditional independence;dynamic Bayesian networks;gene networks;gene regulatory networks,ajmal.hamda-b;madden.michael-g
oai:zbmath.org:7346114,"Measuring evolutionary cancer dynamics from genome sequencing, one patient at a time","Stat. Appl. Genet. Mol. Biol. 19, No. 4-6, Article ID 20200075, 12 p. (2020).",92D20;92D15;92D10;92C32,10.1515/sagmb-2020-0075,2020,"Caravagna, Giulio",bulk genome sequencing;clonal evolution;subclonal deconvolution,caravagna.giulio
oai:zbmath.org:7346244,Nuclear embeddings in weighted function spaces,"Integral Equations Oper. Theory 92, No. 6, Paper No. 46, 36 p. (2020)",46E35;47B10,10.1007/s00020-020-02603-7,2020,"Haroske, Dorothee D.; Skrzypczak, Leszek",nuclear embeddings;weighted Besov spaces;weighted Triebel-Lizorkin spaces;radial spaces,haroske.dorothee-d;skrzypczak.leszek
oai:zbmath.org:7346245,From Lieb-Thirring inequalities to spectral enclosures for the damped wave equation,"Integral Equations Oper. Theory 92, No. 6, Paper No. 47, 11 p. (2020).",35P15;35J10;35L10,10.1007/s00020-020-02607-3,2020,"Krejčiřík, David; Kurimaiová, Tereza",non-self-adjoint Schrödinger operators;spectrum of the damped wave equation;small dampings,krejcirik.david;kurimaiova.tereza
oai:zbmath.org:7346246,Conjugations in \(L^2(\mathcal{H})\),"Integral Equations Oper. Theory 92, No. 6, Paper No. 48, 24 p. (2020)",47B35;47B32;30D20,10.1007/s00020-020-02601-9,2020,"Câmara, M. Cristina; Kliś-Garlicka, Kamila; Łanucha, Bartosz; Ptak, Marek",conjugation;\(C\)-symmetric operator;Hardy space;model space;invariant subspaces for unilateral shift;model for a contraction;truncated Toeplitz operator,camara.m-cristina;klis-garlicka.kamila;lanucha.bartosz;ptak.marek
oai:zbmath.org:7346247,Interpolating matrices,"Integral Equations Oper. Theory 92, No. 6, Paper No. 49, 19 p. (2020)",47-XX;15-XX,10.1007/s00020-020-02609-1,2020,"Dayan, Alberto",interpolating sequences;corona theorem;model spaces;Feichtinger conjecture,dayan.alberto
oai:zbmath.org:7346248,Higher-order operators on networks: hyperbolic and parabolic theory,"Integral Equations Oper. Theory 92, No. 6, Paper No. 50, 22 p. (2020); corrigendum ibid. 92, No. 6, Paper No. 54, 1 p. (2020).",35R02;35K35;35L35;34B45;47D06,10.1007/s00020-020-02610-8,2020,"Gregorio, Federica; Mugnolo, Delio",linear operator semigroups;polyharmonic operators;dynamic boundary conditions;extension theory;quadratic forms,gregorio.federica;mugnolo.delio
oai:zbmath.org:7346249,A Morita characterisation for algebras and spaces of operators on Hilbert spaces,"Integral Equations Oper. Theory 92, No. 6, Paper No. 51, 21 p. (2020)",47L30;47L25;46M15,10.1007/s00020-020-02611-7,2020,"Eleftherakis, G. K.; Papapetros, E.",operator algebras;\(C^*\)-algebras;TRO;stable isomorphism;Morita equivalence,eleftherakis.george-k;papapetros.e
oai:zbmath.org:7346250,Almost invariant subspaces of the shift operator on vector-valued Hardy spaces,"Integral Equations Oper. Theory 92, No. 6, Paper No. 52, 15 p. (2020)",47A13;47A15;47A80;46E20;47B38;47B32;30H10,10.1007/s00020-020-02612-6,2020,"Chattopadhyay, Arup; Das, Soma; Pradhan, Chandan",vector valued Hardy space;nearly invariant subspaces;almost invariant subspaces;shift operator;Beurling's theorem;half space;multiplier operator,chattopadhyay.arup;das.soma;pradhan.chandan
oai:zbmath.org:7346292,"A universal, canonical dispersive ordering in metric spaces","J. Stat. Plann. Inference 212, 1-13 (2021).",62R20;62G30,10.1016/j.jspi.2020.10.005,2021,"Salamanca, Juan Jesús",dispersive order;dispersion parameters;moments of a random variable;Fréchet expectation;metric space,salamanca.juan-jesus
oai:zbmath.org:7346293,Group orthogonal greedy algorithm for change-point estimation of multivariate time series,"J. Stat. Plann. Inference 212, 14-33 (2021).",62M10,10.1016/j.jspi.2020.08.002,2021,"Li, Yuanbo; Chan, Ngai Hang; Yau, Chun Yip; Zhang, Rongmao",high-dimensional regression;information criterion;vector autoregressive models,li.yuanbo;chan.ngai-hang;yau.chun-yip;zhang.rongmao
oai:zbmath.org:7346294,Two-sample nonparametric test for comparing mean time to failure functions in age replacement,"J. Stat. Plann. Inference 212, 34-44 (2021).",62G10;62G30;90B25,10.1016/j.jspi.2020.10.003,2021,"Bhattacharyya, Dhrubasish; Khan, Ruhul Ali; Mitra, Murari",mean time to failure function;nonparametric test;asymptotic normality;Monte Carlo study,bhattacharyya.dhrubasish;khan.ruhul-ali;mitra.murari
oai:zbmath.org:7346295,A nonparametric measure of heteroskedasticity,"J. Stat. Plann. Inference 212, 45-68 (2021).",62G08;62G09;62P25,10.1016/j.jspi.2020.08.005,2021,"Song, Xiaojun; Taamouti, Abderrahim",bootstrap;measuring heteroskedasticity;nonparametric quantile regressions;income and years of education,song.xiaojun;taamouti.abderrahim
oai:zbmath.org:7346296,A new variant of the parallel regression model with variable selection in surveys with sensitive attribute,"J. Stat. Plann. Inference 212, 69-83 (2021).",62J12;62F07;62D05;62P25,10.1016/j.jspi.2020.08.006,2021,"Liu, Yin; Tian, Guo-Liang; Wang, Mingqiu",logistic regression;EM-NR algorithm;confounding variable identification;variable selection;SCAD penalty,liu.yin.2;tian.guoliang;wang.mingqiu
oai:zbmath.org:7346297,On optimal fMRI designs for correlated errors,"J. Stat. Plann. Inference 212, 84-96 (2021).",62H35;62R10;62K10;62P10;68W50,10.1016/j.jspi.2020.08.003,2021,"Singh, Rakhi; Kunert, Joachim; Stufken, John",A-optimality;correlated errors;genetic algorithm designs;orthogonal designs;functional magnetic resonance imaging (fMRI),singh.rakhi;kunert.joachim;stufken.john
oai:zbmath.org:7346298,\(M\)-type penalized splines with auxiliary scale estimation,"J. Stat. Plann. Inference 212, 97-113 (2021).",62G08;62G20;62G35,10.1016/j.jspi.2020.09.004,2021,"Kalogridis, Ioannis; Van Aelst, Stefan",penalized splines;\(M\)-estimation;auxiliary scale;asymptotics,kalogridis.ioannis;van-aelst.stefan
oai:zbmath.org:7346299,Minimax estimation of a restricted mean for a one-parameter exponential family,"J. Stat. Plann. Inference 212, 114-125 (2021).",62C15;62C20;62F10;62F30,10.1016/j.jspi.2020.10.001,2021,"Marchand, Éric; Rancourt, Fanny; Strawderman, William E.",discrete distributions;exponential family;Karlin's theorem;minimax;negative binomial;restricted parameters,marchand.eric;rancourt.fanny;strawderman.william-edward
oai:zbmath.org:7346300,The Hyvärinen scoring rule in Gaussian linear time series models,"J. Stat. Plann. Inference 212, 126-140 (2021).",62M10;62J05;62G07;60G15;60H40;65C40,10.1016/j.jspi.2020.08.004,2021,"Columbu, Silvia; Mameli, Valentina; Musio, Monica; Dawid, Philip",scoring rule estimators;Hyvärinen scoring rule;Gaussian linear time series,columbu.silvia;mameli.valentina;musio.monica;dawid.philip
oai:zbmath.org:7346301,A simultaneous test of mean vector and covariance matrix in high-dimensional settings,"J. Stat. Plann. Inference 212, 141-152 (2021).",62H15;62E20,10.1016/j.jspi.2020.09.003,2021,"Cao, Mingxiang; Sun, Peng; Park, Junyong",simultaneous test;martingale central limit theorem;asymptotic distributions;high-dimensional data,
oai:zbmath.org:7346302,Semiparametric estimation for average causal effects using propensity score-based spline,"J. Stat. Plann. Inference 212, 153-168 (2021).",62P10;62G07;65D07,10.1016/j.jspi.2020.10.004,2021,"Wu, Peng; Xu, Xinyi; Tong, Xingwei; Jiang, Qing; Lu, Bo",average causal effect;heterogeneous variance;propensity score;semiparametric estimation;spline,wu.peng;xu.xinyi;tong.xingwei;jiang.qing;lu.bo
oai:zbmath.org:7346303,Sequential online subsampling for thinning experimental designs,"J. Stat. Plann. Inference 212, 169-193 (2021).",62K05;62L05;62L20;68Q32,10.1016/j.jspi.2020.08.001,2021,"Pronzato, Luc; Wang, HaiYing",active learning;data thinning;design of experiments;sequential design;subsampling,pronzato.luc;wang.haiying
oai:zbmath.org:7346304,A Bayesian analysis of the matching problem,"J. Stat. Plann. Inference 212, 194-200 (2021).",62F15;62F03;62K99,10.1016/j.jspi.2020.10.002,2021,"Vidal, Ignacio; de Castro, Mário",coincidences;matching problem;conjugate prior;Bayes factor;sample size determination,vidal.ignacio;de-castro.mario-h
oai:zbmath.org:7346305,Generalized principal component analysis for moderately non-stationary vector time series,"J. Stat. Plann. Inference 212, 201-225 (2021).",62M10;62H25,10.1016/j.jspi.2020.08.007,2021,"Alshammri, Fayed; Pan, Jiazhu",dimension reduction;eigenanalysis;moving cross-covariance;moving cross-correlation;multivariate time series;non-stationary data,alshammri.fayed;pan.jiazhu
oai:zbmath.org:7346307,A uniformization theorem for Stein spaces,"Complex Anal. Synerg. 6, No. 2, Paper No. 6, 5 p. (2020).",32E10;32Q45;32Q20,10.1007/s40627-020-00044-x,2020,"Huang, Xiaojun; Xiao, Ming",Bergman metric;Stein space;uniformization;Kähler-Einstein metric,huang.xiaojun;xiao.ming
oai:zbmath.org:7346308,On holomorphic extendability and the strong maximum principle for CR functions,"Complex Anal. Synerg. 6, No. 2, Paper No. 7, 11 p. (2020).",32V40;32D15,10.1007/s40627-020-00046-9,2020,"Berhanu, S.",\(\mathcal C^\infty\) surfaces in \(\mathbb C^n\);CR functions;maximum principle;holomorphic extension,berhanu.shiferaw
oai:zbmath.org:7346309,The stationary disc method in the unique jet determination of CR automorphisms,"Complex Anal. Synerg. 6, No. 2, Paper No. 8, 12 p. (2020).",32V40;58C10,10.1007/s40627-020-00045-w,2020,"Bertrand, Florian",finite jet determination;stationary discs,bertrand.florian
oai:zbmath.org:7346310,New examples of Stein manifolds with volume density property,"Complex Anal. Synerg. 6, No. 2, Paper No. 9, 10 p. (2020)",32M05;14F25,10.1007/s40627-020-00043-y,2020,"De Vito, Giorgio",Andersén-Lempert theory;density properties;Stein manifolds;Oka manifolds;acyclic embeddings;holomorphic embeddings and immersions,de-vito.giorgio
oai:zbmath.org:7346311,Gevrey regularity of Gevrey vectors of second-order partial differential operators with non-negative characteristic form,"Complex Anal. Synerg. 6, No. 2, Paper No. 10, 16 p. (2020).",35B65;35J70;35K65,10.1007/s40627-020-00047-8,2020,"Derridj, Makhlouf",Gevrey vectors;degenerate elliptic-parabolic differential operators,derridj.makhlouf
