id,author,author_ids,document_title,source,classifications,keywords,doi,publication_year
oai:zbmath.org:7031364,"Kileel, Joe; Kukelova, Zuzana; Pajdla, Tomas; Sturmfels, Bernd",kileel.joe;kukelova.zuzana;pajdla.tomas;sturmfels.bernd,Distortion varieties,"Found. Comput. Math. 18, No. 4, 1043-1071 (2018).",14Q15;13P15;68T45;14M25;13P25;14T05;68U10,distortion varieties;scroll varieties;toric varieties;image distortion;minimal problems;Chow polytopes;Gröbner bases;tropical geometry,10.1007/s10208-017-9361-0,2018
oai:zbmath.org:7036411,"Ren, Yue; Martini, Johannes W. R.; Torres, Jacinta",,"Decoupled molecules with binding polynomials of bidegree \((n,2)\)","J. Math. Biol. 78, No. 4, 879-898 (2019).",82B05;92C40;14Q99;65H04;68W30,ligand binding;binding polynomials;numerical algebraic geometry,10.1007/s00285-018-1295-x,2019
oai:zbmath.org:7066920,"Chen, Tianran",chen.tianran,Unmixing the mixed volume computation,"Discrete Comput. Geom. 62, No. 1, 55-86 (2019).",52B55;65H10;65H20;52A39,convex polytope;Newton polytope;mixed volume;BKK bounds;semi-mixed systems;power-flow equations;Kuramoto model;tensor eigenvalues,10.1007/s00454-019-00078-x,2019
oai:zbmath.org:6918063,"Jordan, Charles; Joswig, Michael; Kastner, Lars",jordan.charles.1;joswig.michael;kastner.lars,Parallel enumeration of triangulations,"Electron. J. Comb. 25, No. 3, Research Paper P3.6, 27 p. (2018).",68U05;52B55;68W10,triangulations of point configurations;reverse search,,2018
oai:zbmath.org:6920257,"Chen, Tianran",chen.tianran,libtropicon: a scalable library for computing intersection points of generic tropical hyper-surfaces,"Davenport, James H. (ed.) et al., Mathematical software -- ICMS 2018. 6th international conference, South Bend, IN, USA, July 24--27, 2018. Proceedings. Cham: Springer (ISBN 978-3-319-96417-1/pbk; 978-3-319-96418-8/ebook). Lecture Notes in Computer Science 10931, 105-112 (2018).",14-04;14T05;65Y10;68W30;68W10;14Q99,tropical hypersurfaces;mixed volume;mixed cells;BKK bound;polyhedral homotopy,10.1007/978-3-319-96418-8_13,2018
oai:zbmath.org:6920267,"Hashemi, Amir; Dehghani Darmian, Mahdi; Barkhordar, Marzieh",hashemi.amir;dehghani-darmian.mahdi;barkhordar.marzieh,Universal Gröbner basis for parametric polynomial ideals,"Davenport, James H. (ed.) et al., Mathematical software -- ICMS 2018. 6th international conference, South Bend, IN, USA, July 24--27, 2018. Proceedings. Cham: Springer (ISBN 978-3-319-96417-1/pbk; 978-3-319-96418-8/ebook). Lecture Notes in Computer Science 10931, 191-199 (2018).",13P10,parametric polynomials;Gröbner bases;Gröbner systems;Gröbner Fan;universal Gröbner bases;universal Gröbner systems,10.1007/978-3-319-96418-8_23,2018
oai:zbmath.org:7415141,"Brandt, Madeline; Eur, Christopher; Zhang, Leon",brandt.madeline;eur.christopher;zhang.leon,Tropical flag varieties,"Adv. Math. 384, Article ID 107695, 41 p. (2021)",14Txx;14M15,flag matroid;tropical linear space;tropical geometry;mixed subdivision,10.1016/j.aim.2021.107695,2021
oai:zbmath.org:7430815,"Dimitrova, Elena; Hu, Jingzhen; Liang, Qingzhong; Stigler, Brandilyn; Zhang, Anyu",dimitrova.elena-s;hu.jingzhen;liang.qingzhong;stigler.brandilyn;zhang.anyu,Algebraic model selection and experimental design in biological data science,"Adv. Appl. Math. 133, Article ID 102282, 25 p. (2022)",13P10;62P10,model selection;experimental design;biological data science;Gröbner bases;standard monomials;finite fields,10.1016/j.aam.2021.102282,2022
oai:zbmath.org:6832594,"Gross, Elizabeth; Obatake, Nida; Youngs, Nora",gross.elizabeth;obatake.nida;youngs.nora,Neural ideals and stimulus space visualization,"Adv. Appl. Math. 95, 65-95 (2018).",92B20;52A10;52B55;13P25,neural code;information visualization;toric ideal;Euler diagram,10.1016/j.aam.2017.10.002,2018
oai:zbmath.org:6842710,"Epure, Raul; Ren, Yue; Schönemann, Hans",epure.raul;ren.yue;schonemann.hans,The polymake interface in Singular and its applications,"Gerdt, Vladimir P. (ed.) et al., Computer algebra in scientific computing. 19th international workshop, CASC 2017, Beijing, China, September 18--22, 2017. Proceedings. Cham: Springer. Lect. Notes Comput. Sci. 10490, 109-117 (2017).",14Q15;14-04;13-04;14B05;68W30,computer algebra;algebraic geometry;convex geometry,10.1007/978-3-319-66320-3_9,2017
